state;year;distid;schoolid;distname;schoolname;ncesdistid;ncesid;ncesenroll;gradespan;level;enroll_raw_AZ;enrollmetric;pp_stloc_raw_AZ;pp_fed_raw_AZ;pp_total_raw_AZ;schoolstloc_raw_AZ;schoolfed_raw_AZ;schooltot_raw_AZ;countenroll;noaudit;nositecen;adfinvars;distflex;ppperfed_raw_AZ;ppperstloc_raw_AZ;ppnonperfed_raw_AZ;ppnonperstloc_raw_AZ;pppersonnel_raw_AZ;ppnonpersonnel_raw_AZ;flag_NERDS
AZ;2018-2019;4406;12976;Amphitheater Unified District;The Innovation Academy;0400680;040068003517;423; PK-05;2;423;October Count Day;7362,944064;240,8328411;7603,776905;3114525,339;101872,2918;3216397,631;1;1;1;1;0;191,6025128;5852,137448;49,23032827;1510,806616;6043,739961;1560,036944;0
AZ;2018-2019;4406;5793;Amphitheater Unified District;Winifred Harelson Elementary School;0400680;040068000031;498; KG-06;2;498;October Count Day;7119,433153;411,9731207;7531,406274;3545477,71;205162,6141;3750640,324;1;1;1;1;0;362,7427925;5655,886464;49,23032827;1463,546689;6018,629256;1512,777018;0
AZ;2018-2019;4506;6188;Antelope Union High School District;Antelope Union High School;0400720;040072000034;217; 09-12;4;217;October Count Day;16909,17755;1108,175123;18017,35267;3669291,528;240474,0017;3909765,53;1;1;1;1;0;735,4666191;10732,12501;372,7085039;6177,052543;11467,59163;6549,761047;0
AZ;2018-2019;4506;92739;Antelope Union High School District;AUHS Online Acadamy;0400720;040072003466;5; 09-12;4;5;October Count Day;6177,052543;372,7085039;6549,761047;30885,26272;1863,54252;32748,80523;1;1;1;1;0;0;0;372,7085039;6177,052543;0;6549,761047;0
AZ;2018-2019;90532;90635;Anthem Preparatory Academy;Great Hearts Academies - Anthem Prep;0400819;040081903187;814; KG-12;4;814;October Count Day;8257,274173;110,6223678;8367,896541;6721421,177;90046,6074;6811467,784;1;1;1;1;0;110,6223678;5492,543494;0;2764,730679;5603,165862;2764,730679;0
AZ;2018-2019;4178;4786;Apache Elementary District;Apache Elementary School-Apache Elementary District;0400750;040075000039;5; KG-08;3;5;October Count Day;27462,74206;6598,140976;34060,88304;137313,7103;32990,70488;170304,4152;1;1;1;1;0;3254,221534;20432,68784;3343,919442;7030,054222;23686,90937;10373,97366;0
AZ;2018-2019;4443;5925;Apache Junction Unified District;Apache Junction High School;0400790;040079000043;965; 09-12;4;965;October Count Day;8268,895569;683,1744675;8952,070037;7979484,224;659263,3612;8638747,586;1;1;1;1;0;612,9661098;6820,036487;70,20835775;1448,859083;7433,002597;1519,06744;0
AZ;2018-2019;4443;5923;Apache Junction Unified District;Cactus Canyon Junior High;0400790;040079000040;612; 07-08;3;612;October Count Day;6956,158257;964,34848;7920,506737;4257168,853;590181,2698;4847350,123;1;1;1;1;0;816,3760112;5847,034063;147,9724688;1109,124194;6663,410074;1257,096663;0
AZ;2018-2019;4443;5922;Apache Junction Unified District;Desert Vista Elementary School;0400790;040079001461;668; PK-06;2;668;October Count Day;6843,999023;883,5289185;7727,527941;4571791,347;590197,3175;5161988,665;1;1;1;1;0;727,8684106;5811,92929;155,6605078;1032,069733;6539,797701;1187,730241;0
AZ;2018-2019;4443;5920;Apache Junction Unified District;Four Peaks Elementary School;0400790;040079000041;687; PK-06;2;687;October Count Day;7136,313882;1189,262452;8325,576334;4902647,637;817023,3044;5719670,942;1;1;1;1;0;945,5759636;6110,273535;243,6864883;1026,040347;7055,849499;1269,726835;0
AZ;2018-2019;4443;79631;Apache Junction Unified District;Peralta Trail Elementary School;0400790;040079002212;459; KG-06;2;459;October Count Day;7651,703919;923,8904782;8575,594397;3512132,099;424065,7295;3936197,828;1;1;1;1;0;805,7792033;6611,390157;118,1112749;1040,313762;7417,16936;1158,425037;0
AZ;2018-2019;79426;79432;Aprender Tucson;Southside Community School;0400318;040031802203;252; KG-09;3;252;October Count Day;-9374,010751;-714,9823043;-10088,99305;-2362250,709;-180175,5407;-2542426,25;1;1;1;1;0;-714,9823043;-6664,60921;0;-2709,401541;-7379,591514;-2709,401541;1
AZ;2018-2019;92312;92313;Archway Classical Academy Arete;Great Hearts Academies - Archway Arete;0400888;040088803412;537; KG-05;2;537;October Count Day;8570,247157;125,9668734;8696,21403;4602222,723;67644,21103;4669866,934;1;1;1;1;0;125,9668734;5571,426958;0;2998,8202;5697,393831;2998,8202;0
AZ;2018-2019;90917;90999;Archway Classical Academy Chandler;Great Hearts Academies - Archway Chandler;0400834;040083403244;535; KG-12;4;537;October Count Day;8230,517036;123,2861632;8353,803199;4419787,648;66204,66961;4485992,318;1;1;1;1;0;123,2861632;5265,231235;0;2965,285801;5388,517398;2965,285801;0
AZ;2018-2019;92314;92315;Archway Classical Academy Cicero;Great Hearts Academies - Archway Cicero;0400886;040088603407;529; KG-05;2;529;October Count Day;8727,783449;233,4556877;8961,239136;4616997,444;123498,0588;4740495,503;1;1;1;1;0;233,4556877;5258,649649;0;3469,1338;5492,105336;3469,1338;0
